TAG_ID	TAG_LABEL
3.15.15	Fisheries agreements and cooperation
3.15.15.02	Fisheries agreements with African countries
3.15.15.03	Fisheries agreements with Indian Ocean countries
3.15.15.06	Fisheries agreements with Pacific countries
3.15.15.08	Fisheries agreements with Northern and Baltic countries
3.15.17	European Maritime and Fisheries Fund (EMFF)
3.20	Transport policy in general
3.20.01	Air transport and air freight
3.20.01.01	Air safety
3.20.02	Rail transport: passengers and freight
3.20.03	Maritime transport: passengers and freight
3.20.03.01	Maritime safety
3.20.04	Inland waterway transport
3.20.05	Road transport: passengers and freight
3.20.06	Transport regulations, road safety, roadworthiness tests, driving licence
3.20.07	Combined transport, multimodal transport
3.20.08	Urban transport
3.20.09	Ports policy
3.20.10	Transport undertakings, transport industry employees
3.20.11	Trans-European transport networks
3.20.15	Transport agreements and cooperation
3.20.15.02	Air transport agreements and cooperation
3.20.15.06	Maritime or inland transport agreements and cooperation
3.30	Information and communications in general
3.30.01	Audiovisual industry and services
3.30.02	Television, cable, digital, mobile
3.30.03	Telecommunications, data transmission, telephone
3.30.03.04	Telecommunication networks
3.30.03.06	Communications by satellite
3.30.04	Radiocommunications, broadcasting
3.30.05	Electronic and mobile communications, personal communications
3.30.06	Information and communication technologies
3.30.07	Cybersecurity, cyberspace policy
3.30.08	Press, media freedom and pluralism
3.30.09	Postal services, parcel delivery services
3.30.20	Trans-European communications networks
3.30.25	International information networks and society, internet
3.30.25.02	Information programmes and action plans
3.40	Industrial policy
3.40.01	Chemical industry, fertilizers, plastics
3.40.02	Iron and steel industry, metallurgical industry
3.40.03	Motor industry, cycle and motorcycle, commercial and agricultural vehicles
3.40.04	Shipbuilding, nautical industry
3.40.05	Aeronautical industry, aerospace industry
3.40.06	Electronics, electrotechnical industries, ICT, robotics
3.40.07	Building industry
3.40.08	Mechanical engineering, machine-tool industry
3.40.09	Defence and arms industry
3.40.10	Textile and clothing industry, leathers
3.40.11	Precision engineering, optics, photography, medical
3.40.12	Luxury products industry, cosmetics
3.40.13	Food industry
3.40.14	Industrial competitiveness
3.40.16	Raw materials
3.40.17	Manufactured goods
3.40.18	Services sector
3.45	Enterprise policy, inter-company cooperation
3.45.01	Company law
3.45.02	Small and medium-sized enterprises (SME), craft industries
3.45.03	Financial management of undertakings, business loans, accounting
3.45.04	Company taxation
3.45.05	Business policy, electronic commerce, after-sales service, commercial distribution
3.45.06	Entrepreneurship, liberal professions
3.45.07	Social economy, mutual societies, cooperatives, associations
3.50	Research and technological development RTD
3.50.01	European research area and policy
3.50.01.05	Research specific areas
3.50.02	Framework programme and research programmes
3.50.02.01	EC, EU framework programme
3.50.02.02	Euratom framework programme
3.50.02.03	Framework programme and research programme for Coal and Steel
3.50.04	Innovation
3.50.06	Research staff, researchers
3.50.08	New technologies, biotechnology
3.50.15	Intellectual property, copyright
3.50.16	Industrial property, European patent, Community patent, design and pattern
3.50.20	Scientific and technological cooperation and agreements
3.60	Energy policy
3.60.01	Solid fuels, coal mining, mining industry
3.60.02	Oil industry, motor fuels
3.60.03	Gas, electricity, natural gas, biogas
3.60.04	Nuclear energy, industry and safety
3.60.05	Alternative and renewable energies
3.60.06	Trans-European energy networks
3.60.08	Energy efficiency
3.60.10	Security of energy supply
3.60.12	Energy statistics
3.60.15	Cooperation and agreements for energy
3.70	Environmental policy
3.70.01	Protection of natural resources: fauna, flora, nature, wildlife, countryside; biodiversity
3.70.02	Atmospheric pollution, motor vehicle pollution
3.70.03	Climate policy, climate change, ozone layer
3.70.04	Water control and management, pollution of waterways, water pollution
3.70.05	Marine and coastal pollution, pollution from ships, oil pollution
3.70.08	Radioactive pollution
3.70.09	Transfrontier pollution
3.70.10	Man-made disasters, industrial pollution and accidents
3.70.11	Natural disasters, Solidarity Fund
3.70.12	Waste management, domestic waste, packaging, light industrial waste
3.70.13	Dangerous substances, toxic and radioactive wastes (storage, transport)
3.70.16	Law and environment, liability
3.70.18	International and regional environment protection measures and agreements
3.70.20	Sustainable development
4	Economic, social and territorial cohesion
4.10	Social policy, social charter and protocol
4.10.02	Family policy, family law, parental leave
4.10.03	Child protection, children's rights
4.10.04	Gender equality
4.10.05	Social inclusion, poverty, minimum income
4.10.06	People with disabilities
4.10.07	The elderly
4.10.08	Equal treatment between persons, anti-discrimination
4.10.09	Women condition and rights
4.10.10	Social protection, social security
4.10.11	Retirement, pensions
4.10.13	Sport
4.10.14	Demography
4.10.15	European Social Fund (ESF), Fund for European Aid to the Most Deprived (FEAD)
4.15	Employment policy, action to combat unemployment
4.15.02	Employment: guidelines, actions, Funds
4.15.03	Arrangement of working time, work schedules
4.15.04	Workforce, occupational mobility, job conversion, working conditions
4.15.05	Industrial restructuring, job losses, redundancies, relocations, Globalisation Adjustment Fund (EGF)
4.15.06	Professional qualifications, recognition of qualifications
4.15.08	Work, employment, wages and salaries: equal opportunities women and men, and for all
4.15.10	Worker information, participation, trade unions, works councils
4.15.12	Workers protection and rights, labour law
4.15.14	Social dialogue, social partners
4.15.15	Health and safety at work, occupational medicine
4.20	Public health
4.20.01	Medicine, diseases
4.20.02	Medical research
4.20.02.04	Genetics and bioethics
4.20.03	Drug addiction, alcoholism, smoking
4.20.04	Pharmaceutical products and industry
4.20.05	Health legislation and policy
4.20.06	Health services, medical institutions
4.20.07	Medical and para-medical professions
4.40	Education, vocational training and youth
4.40.01	European area for education, training and lifelong learning
4.40.03	Primary and secondary school, European Schools
4.40.04	Universities, higher education
4.40.06	Teachers, trainers, pupils, students
4.40.07	Recognition of diplomas, equivalence of studies and training
4.40.08	Language learning, regional and local languages
4.40.10	Youth
4.40.15	Vocational education and training
4.40.20	Cooperation and agreements in the fields of education, training and youth
4.45	Common cultural area, cultural diversity
4.45.02	Cultural programmes and actions, assistance
4.45.06	Heritage and culture protection, movement of works of art
4.45.08	Cultural and artistic activities, books and reading, arts
4.45.10	Literary and artistic property
4.50	Tourism
4.60	Consumers' protection in general
4.60.02	Consumer information, advertising, labelling
4.60.04	Consumer health
4.60.04.04	Food safety
4.60.06	Consumers' economic and legal interests
4.60.08	Safety of products and services, product liability
4.70	Regional policy
4.70.01	Structural funds, investment funds in general, programmes
4.70.02	Cohesion policy, Cohesion Fund (CF)
4.70.04	Town and country planning
4.70.05	Regional cooperation, transfrontier cooperation
4.70.06	Outlying and outermost regions, overseas countries and territories
4.70.07	European Regional Development Fund (ERDF)
5	ECONOMIC AND MONETARY SYSTEM
5.05	Economic growth
5.10	Economic union
5.10.01	Convergence of economic policies, public deficit, interest rates
5.10.02	Price policy, price stabilisation
5.20	Monetary union
5.20.02	Single currency, euro, euro area
5.20.03	European Central Bank (ECB), ESCB
6	External relations of the Union
6.10	Common foreign and security policy (CFSP)
6.10.01	Foreign and common diplomatic policy
6.10.02	Common security and defence policy; WEU, NATO
6.10.03	Armaments control, non-proliferation nuclear weapons
6.10.04	Third-country political situation, local and regional conflicts
6.10.05	Peace preservation, humanitarian and rescue tasks, crisis management
6.10.08	Fundamental freedoms, human rights, democracy in general
6.10.09	Human rights situation in the world
6.20	Common commercial policy in general
6.20.01	Agreements and relations in the context of the World Trade Organization (WTO)
6.20.02	Export/import control, trade defence
6.20.03	Bilateral economic and trade agreements and relations
6.20.04	Union Customs Code, tariffs, preferential arrangements, rules of origin
6.20.05	Multilateral economic and trade agreements and relations
6.20.06	Foreign direct investment (FDI)
6.20.07	Macro-financial assistance to third countries
6.30	Development cooperation
6.30.01	Generalised scheme of tariff preferences (GSP), rules of origin
6.30.02	Financial and technical cooperation and assistance
6.30.04	Loans to third-countries, Guarantee Fund
6.40	Relations with third countries
6.40.01	Relations with EEA/EFTA countries
6.40.02	Relations with central and eastern Europe
6.40.03	Relations with South-East Europe and the Balkans
6.40.04	Relations with the Commonwealth of Independent States (CIS)
6.40.04.02	Relations with Russian Federation
6.40.04.04	Relations with Caucasus countries
6.40.04.06	Relations with central Asian countries
6.40.05	Relations with the Mediterranean and Southern Europe countries
6.40.05.02	Relations with the countries of the Great Maghreb and Maghreb
6.40.05.04	Relations with the countries of the Mashreq
6.40.05.06	Relations with the countries of the Middle East
6.40.06	Relations with ACP countries, conventions and generalities
6.40.07	Relations with African countries
6.40.08	Relations with Asian countries
6.40.09	Relations with Oceanian countries
6.40.10	Relations with Latin America, Central America, Caribbean islands
6.40.11	Relations with industrialised countries
6.40.13	Relations with/in the context of international organisations: UN, OSCE, OECD, Council of Europe, EBRD
6.40.15	European neighbourhood policy
6.40.16	Relations with international financial organisations: World Bank, IBRD, IMF
6.40.17	Relations with BRIC countries
6.50	Emergency, food, humanitarian aid, aid to refugees, Emergency Aid Reserve
7	Area of freedom, security and justice
7.10	Free movement and integration of third-country nationals
7.10.02	Schengen area
7.10.04	External borders crossing and controls, visas
7.10.06	Asylum, refugees, displaced persons; Asylum, Migration and Integration Fund (AMIF)
7.10.08	Migration policy
7.30	Police, judicial and customs cooperation in general
7.30.02	Customs cooperation
7.30.05	Police cooperation
7.30.05.01	Europol, CEPOL
7.30.08	Action to combat racism and xenophobia
7.30.12	Control of personal weapons and ammunitions
7.30.20	Action to combat terrorism
7.30.30	Action to combat crime
7.30.30.02	Action to combat violence, trafficking in human beings and migrant smuggling
7.30.30.04	Action to combat drugs and drug-trafficking
7.30.30.06	Action to combat economic fraud
7.30.30.08	Capital outflow, money laundering
7.30.30.10	Action against counterfeiting
7.40	Judicial cooperation
7.40.02	Judicial cooperation in civil and commercial matters
7.40.04	Judicial cooperation in criminal matters
8	State and evolution of the Union
8.10	Revision of the Treaties, intergovernmental conferences
8.20	Enlargement of the Union
8.20.01	Candidate countries
8.20.04	Pre-accession and partnership
8.30	Treaties in general
8.30.10	Principles common to the Member States, EU values
8.40	Institutions of the Union
8.40.01	European Parliament
8.40.01.01	Elections, direct universal suffrage
8.40.01.02	President, members, mandates, political groups
8.40.01.06	Committees, interparliamentary delegations
8.40.01.08	Business of Parliament, procedure, sittings, rules of procedure
8.40.03	European Commission
8.40.04	Court of Justice, Court of First Instance
8.40.07	European Investment Bank
8.40.08	Agencies and bodies of the EU
8.40.09	European officials, EU servants, staff regulations
8.40.10	Interinstitutional relations, democratic deficit, subsidiarity, comitology
8.40.13	ACP-EU bodies
8.50	EU law
8.50.01	Implementation of EU law
8.50.02	Legislative simplification, coordination, codification
8.60	European statistical legislation
8.70	Budget of the Union
8.70.01	Financing of the budget, own resources
8.70.02	Financial regulations
8.70.03	Budgetary control and discharge, implementation of the budget
8.70.03.02	2012 discharge
8.70.03.03	2013 discharge
8.70.03.05	2015 discharge
8.70.04	Action to combat Community fraud
8.70.53	2013 budget
8.70.54	2014 budget
8.70.55	2015 budget
8.70.56	2016 budget
8.70.57	2017 budget
8.70.58	2018 budget
8.70.59	2019 budget
8.70.60	Previous annual budgets
8.70.70	Flexibility instrument
